beta,gamma,alpha,l
0.07607113292729069,0.05434165947194763,0.36545377175072624,0.29142803444807086
0.05353028895566235,0.03181300860849996,0.8700525393806969,0.12026747822258
0.06094258728888871,0.03721407239859515,0.3541688296703748,0.1615077691040201
0.05162149748220181,0.02754158693845139,0.416481415374777,0.11009685133603986
0.06483270489503677,0.04189897790133604,0.3412831614644446,0.18802632823997478
0.057803281544998815,0.03614629419339187,0.9678111283171074,0.11049120988396621
0.055431821143621635,0.03179970709293877,0.43614597980917547,0.12988907231817337
0.060619424200827325,0.03936693202355052,0.7244487673673676,0.1428679739325076
0.04387120776421797,0.019722401715831665,0.6103659774311458,0.07439067207297667
0.06187914423436389,0.04078874937412716,0.8221086539187717,0.16776355525574083
0.053838567319659386,0.032323884975768484,0.9193941086179245,0.12313040954873289
0.06768927197383097,0.04631570459137908,0.6535414875986778,0.16752504096895693
0.05528710552200692,0.033484153046115156,0.9713451134661625,0.12625397918689552
0.05596768228401435,0.03330094137985633,0.551026626398341,0.13394785529425335
0.0549464938432203,0.033050995999421795,0.9561736823855405,0.12408714536610599
0.05061325692640298,0.0272853128141661,0.9069543533995496,0.08286913018299791
0.06434005613998467,0.043335520592415286,0.8956435207768185,0.1446066846439541
0.0446428118714835,0.022120627393896017,0.9377641837960228,0.0817108789622577
0.0629468311238377,0.04129255966826352,0.9268664473861591,0.1616755930878253
0.07078430474236046,0.04955924898348778,0.5209250131728579,0.2073058481993697
0.07201507920697597,0.04959554731178147,0.28869327895958286,0.2666532176297015
0.07300125226164866,0.05019833341015926,0.4614934535687014,0.21362451812454586
0.06259833536401385,0.039666985556841124,0.6623154449467994,0.1352628136294013
0.04585715938276952,0.022256706977044974,0.9092284373161951,0.07763566381157228
0.05341500414152289,0.03151527682964126,0.9970008472813398,0.09408512955204096
0.07580371870606382,0.05304572170454794,0.4185403895269486,0.2386118189002624
0.06844428090253658,0.04539839716358416,0.3342737469080691,0.22454584355379625
0.058666633642814964,0.0343308124980902,0.33276362065984755,0.14763035675480096
0.047008433539352155,0.023494152348495827,0.8709436951291761,0.0705895981950545
0.059283775380929264,0.0374160000669039,0.666382012482241,0.1524529619381041
0.06788818941164773,0.04437965146729618,0.2649666263018057,0.23077272123006887
0.07414331842187477,0.05333713691444386,0.6130839074082163,0.2587414095846141
0.0558663837057812,0.03152644448612426,0.40990769343280653,0.12604105684887523
0.05204242863225082,0.028835539123380827,0.830696432358221,0.08631848425392052
0.0666720392900397,0.046132820141618645,0.875239605586313,0.20155504667465307
0.06517507151661751,0.04283236955983791,0.7486504420361512,0.1423983750240082
0.05695608669237742,0.03559356785249536,0.9134236403133176,0.1401290839326903
0.0482759662051294,0.024600478306549878,0.9615489844482494,0.07737381576626934
0.05997031389816793,0.036194988027606616,0.5008274051955429,0.1282573795771924
0.04748434839362757,0.024540337325698727,0.918511113758305,0.08896299245907768
0.06816927047461775,0.04754511360853176,0.8788658474432526,0.2103698850497171
0.04958680146631765,0.027611571352682676,0.8722814316892163,0.10425995050096082
0.05078437137270711,0.02732758228017118,0.7451200709840312,0.08248462320307737
0.07069841323633362,0.04743163966396173,0.41787527094155097,0.19867595234651425
0.05380027930880572,0.03250183938876501,0.9343546813428646,0.1254399439895808
0.072627671479714,0.049581151580671876,0.2648096814475268,0.28371316767565
0.056469721434996754,0.03338246444158976,0.5113318314399862,0.13642192411812282
0.05770359280177158,0.03358587809440008,0.26385884505158796,0.1645059475491264
0.04306059011481636,0.017734983262069865,0.4768377327121428,0.07118187883993266
0.05553858400442818,0.03199107395307875,0.6897296614128595,0.11265508693481596
0.0528244287338313,0.027888724332324196,0.29006694515182696,0.12695117656825294
0.06563584435840539,0.04436966448315973,0.5971093586476449,0.1993446391068221
0.07736822391696674,0.05705035418197163,0.8923854479883264,0.2119378769110417
0.03965101630031277,0.015075858666476049,0.9397359032329016,0.05589578900987424
0.04018949068081316,0.016274982259838137,0.6970301578208569,0.06506904147778902
0.05485878581033386,0.03203048032237074,0.4801806142587447,0.11770485721407253
0.03642948285453191,0.011922503693152824,0.8810837993283755,0.05092072762605804
0.06409078106816617,0.03981222477360575,0.27293166458250695,0.19014432214727173
0.05924326679590722,0.03539192040604509,0.29056820362300284,0.17477783959497106
0.06689599479385473,0.04536774331117864,0.7323377032620204,0.15246374267551122
0.05177766270970376,0.02700363348060679,0.44889843321341427,0.09491194545066739
0.057054852457859365,0.032533815586943036,0.3455725158615569,0.14190365082652212
0.07468215205195336,0.05297405211184669,0.39547482367591935,0.28380006863178076
0.05898405197569629,0.034430392403102306,0.31713019607130855,0.15556162379658345
0.05562362109324367,0.03269609095395313,0.9518270187140363,0.10100648142313795
0.0681501909707745,0.04494357650341426,0.31969053922861623,0.22932948169312461
0.050564497151005285,0.0250724953809247,0.3063611483955937,0.11110933878440166
0.07777806945906995,0.05504285609320575,0.26439201260088685,0.29902280295664263
0.05781483440237636,0.033390739849794925,0.23149086701974952,0.1777883541948574
0.06839325297639312,0.04597803168795017,0.746597919032031,0.1678924779226726
0.04527303387788362,0.020286753829539712,0.48964799255224467,0.08061513524418507
0.0653115497017665,0.04278225463689103,0.370231650520223,0.21221043885292223
0.06653250115545634,0.04370355388111198,0.45747596899872245,0.19539256532320626
0.05122826621936379,0.027584641336453358,0.5542595150692172,0.10775904530648506
0.04834785312533584,0.025794411274778675,0.8371692799117497,0.07868162701586634
0.06013834277892865,0.037566281205086705,0.8335714600202576,0.13870464219480416
0.06295345942319079,0.03895908725194759,0.3352343343449111,0.18060523836742093
0.05693367302012694,0.03443634790018628,0.5333803147698085,0.12049695444547404
0.05100213184939334,0.027973928288866117,0.790998166738972,0.10312475830650236
0.056880979307472296,0.031847812253717765,0.32726819765939374,0.13013697733468998
0.06773869093629713,0.04439101497069157,0.45526464930109445,0.18763600620704146
0.04458050015562756,0.019008136010556096,0.5114576036560762,0.0730927913996473
0.04724040899287643,0.023599207816339295,0.7311072203522371,0.08741138981095109
0.051854044951373544,0.030120293434234877,0.92600061458876,0.11600605154309684
0.0519714894502559,0.026221278342660328,0.2974111129313399,0.1123442182250749
0.07303289338909304,0.04939657695678123,0.21243273793620898,0.2890960492608565
0.05758420894131621,0.03235667651837777,0.24141890660472787,0.15673540428864274
0.04968990850018166,0.02681501634757033,0.7784525354721049,0.10081601169794463
0.04359898778274153,0.019661686681594043,0.7840390130149553,0.06109115374008789
0.04709216585429298,0.022868704629169994,0.5747473514977599,0.08811300506358377
0.071506279104986,0.049431133577328354,0.5027437648406501,0.23256372692555727
0.06929856875585537,0.04748360820224094,0.7835510470901281,0.15902439282702896
