beta,gamma,alpha,l
0.05267339248363688,0.023091389209477516,0.7097741228328903,0.7981320539220889
0.04683851133343028,0.017560771831148975,0.8293869513182845,0.5611335455552255
0.049650155119528555,0.020476555909071673,0.6790136091172116,0.7097824773664146
0.05573320047755062,0.027275702898396006,0.7211407249050775,0.9600239889537415
0.05508547420095815,0.02464097567972249,0.48853606619321366,0.906836168291949
0.05004418508449106,0.015687750094231824,0.24067952282029248,0.7209002702092281
0.05433906749912119,0.025880850844556914,0.8280851903251155,0.9436740054773555
0.05642980607897965,0.0284581844424707,0.8980388615223096,0.9926135992962553
0.054760656495066166,0.024781925260782364,0.5774165220121492,0.8748766364590045
0.052642929423513764,0.01916342840150456,0.25072205921558643,0.9410587527338901
0.04944154235275241,0.02047009140979987,0.7840260013121346,0.7093334997756684
0.04585538939141745,0.016339840098988635,0.8700507056348125,0.5253381057793045
0.04296072167488907,0.011315291431052376,0.5697066709742113,0.3962160563001087
0.042810335230780955,0.012702287576660504,0.981381456523027,0.35657861853867234
0.04799413697667873,0.013769875062184047,0.29487404669942285,0.5508689282669471
0.05325169012897467,0.02326670946915128,0.4607625943916063,0.8743246245004606
0.05136427151877566,0.01617854529014976,0.15848934895305322,0.9687781485745505
0.04078969184875248,0.009247994061147867,0.6805395794125152,0.2801778605149292
0.05011780619149676,0.020812291998966014,0.752905089316603,0.6556837745960116
0.04238445380087998,0.008379064208544229,0.38796160855540873,0.29181243260377565
0.04513190960189016,0.014327943779238118,0.5083699211203613,0.5254518897560302
0.051461418724786004,0.016034623883501874,0.1706891547322804,0.9486034491906448
0.05252619044406512,0.022813538003500278,0.5241060178139592,0.9309943809829587
0.04761188204730639,0.012706397400121857,0.2807222410512906,0.5256420148368832
0.055036061243895,0.026923803038230984,0.7525496602609096,0.9761726848953294
0.05363076289763638,0.02533383214999982,0.7542751127010239,0.9512072027050242
0.05376825226044477,0.02548851120013239,0.8062127984690448,0.9488245028790845
0.052024365760019425,0.023511439888950037,0.9616815552584378,0.7613284033376573
0.05134475171869703,0.019392360991127233,0.37786651379637537,0.8104244372386833
0.04609029703130674,0.014497547088166217,0.4273768780073369,0.5088796541473977
